KO	Pathways	Modules
K18216	ko02010	M00635
K11252	ko05322,ko05034,ko05203	NA
K16669	ko04391,ko04392	NA
K19719	ko04974,ko04512,ko04151,ko04510	NA
K05126	ko04144,ko05230,ko05200,ko05216	NA
K05121	ko05323,ko04014,ko04015,ko04066,ko04151	NA
K04396	ko04210	NA
K09326	ko04550	NA
K19290	ko00051	NA
K19291	ko02025,ko00051	NA
K08331	ko04211,ko04136,ko04140,ko04138	NA
K08330	ko04136,ko04139,ko04138	NA
K08333	ko04136,ko04140,ko04138,ko04371	NA
K08335	ko04138	NA
K08334	ko04140,ko04138,ko04371,ko04137,ko04136,ko04215	NA
K08337	ko04136,ko04140,ko04138,ko04216	NA
K08336	ko04068,ko04622,ko04140,ko04138,ko04621,ko04136	NA
K01664	ko00790	NA
K01665	ko00790	NA
K01666	ko00360,ko00362,ko00621,ko00622	M00545,M00569
K01667	ko00380	NA
K01661	ko00130	M00116
K01662	ko00730,ko00900	M00096
K01663	ko00340	M00026
K01668	ko00350	NA
K02863	ko03010	M00179,M00178
K02861	ko04668,ko04621,ko05160,ko04064,ko04210,ko04620,ko04623,ko04622,ko05169	NA
K02867	ko03010	M00179,M00178
K02866	ko03010	M00179,M00177
K02865	ko03010	M00177
K02864	ko03010	M00179,M00178
K02869	ko03010	M00179
K02868	ko03010	M00177
K14008	ko04141	M00403
K14009	ko04141	NA
K14002	ko04141	NA
K14003	ko04141	NA
K14000	ko04141	NA
K14001	ko04141	NA
K14006	ko04141	M00404
K14007	ko04141	M00404
K14004	ko03013,ko04141,ko04150	M00427,M00404
K14005	ko04141	M00404
K18968	ko02026	NA
K06827	ko04390,ko04371	NA
K18966	ko00430,ko00410,ko00770	NA
K17291	ko04530	NA
K05747	ko04062,ko04144,ko04666,ko05132,ko04810,ko05131,ko04530,ko05130,ko05231,ko05100,ko04520	NA
K03403	ko00860	NA
K03400	ko02024,ko02020	NA
K03406	ko02030,ko02020	NA
K03407	ko02030,ko02020	M00506
K03404	ko00860	NA
K03405	ko00860	NA
K03408	ko02030,ko02020	NA
K03409	ko02030	NA
K11203	NA	M00306
K17442	ko05206	NA
K05746	ko04360,ko04810	NA
K13845	ko05145,ko05144	NA
K02314	ko04112,ko03030	NA
K02317	ko03440	NA
K02316	ko03030	NA
K19961	ko00930	NA
K20088	ko02024,ko00404	M00808
K02313	ko04112,ko02020	NA
K20085	ko00404	NA
K20087	ko02024,ko00404	M00808
K20086	ko02024,ko00404	M00808
K02319	ko00240,ko03030,ko00230	NA
K02318	ko00770	M00120
K20082	ko00404	M00805
K19445	ko05168	NA
K12156	ko00966	NA
K12405	ko04146,ko00120	M00104
K12406	ko04950,ko04910,ko00620,ko00230,ko04932,ko00010,ko04930	M00001,M00002,M00049,M00050
K12407	ko00500,ko04910,ko04950,ko00520,ko00521,ko04917,ko00524,ko04922,ko00052,ko04930,ko05230,ko00010,ko04911	M00001,M00549
K12400	ko04142	NA
K12153	ko00460,ko00966	NA
K12402	ko04142	NA
K12403	ko04142	NA
K12408	ko00120	M00104
K12409	ko00520	NA
K12159	ko04622	NA
K07367	ko04662,ko04660,ko04064	NA
K07366	ko04660	NA
K07365	ko04360,ko04012,ko04660,ko05130	NA
K07364	ko04380,ko04013,ko04660	NA
K07363	ko04062,ko04670,ko04660	NA
K07362	ko04650,ko04664,ko04658,ko04659,ko04666,ko04660,ko04014,ko04015,ko04064	NA
K07361	ko04650,ko04664,ko04660,ko04015,ko04380,ko04611	NA
K07360	ko04650,ko05340,ko04658,ko04659,ko04660,ko04014,ko04064	NA
K07369	ko05152,ko04662,ko04660,ko04064	NA
K07368	ko05152,ko04662,ko04660,ko04064	NA
K17447	ko04650,ko05224,ko04910,ko05220,ko05100,ko04370,ko04917,ko04072,ko04915,ko04062,ko04014,ko05034,ko04012,ko04510,ko05214,ko04722	NA
K18589	ko00790,ko00670	NA
K18583	ko00332	NA
K18582	ko00332	NA
